"タイトル","説明","品物番号","定価","note","isCombo",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","70400","","1",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","67400","","1",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","96000","","1",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","99000","","1",
"天井埋込型　40形　一体型LEDベースライト　乳白パネル　連続調光型調光タイプ（ライコン別売）　パネル付型／フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：4.6 kg<br/>器具光束：4460 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【パネル】アクリル（乳白）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、乳白パネル、フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX466FHN LA9","67700","","",
"天井埋込型　40形　一体型LEDベースライト　乳白パネル　パネル付型／フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：4.6 kg<br/>器具光束：4460 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.8 lm/W<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【パネル】アクリル（乳白）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、乳白パネル、フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX466FHN LE9","64700","","",
"天井埋込型　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42762J","70700","","1",
"天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：3.8 kg<br/>器具光束：4450 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.5 lm/W<br/>グレア分類：V2<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ルーバ】アルミ（鏡面つや消し仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅡ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX462FHN LA9","78000","","",
"天井埋込型　40形　一体型LEDベースライト　フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：3.8 kg<br/>器具光束：4450 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.5 lm/W<br/>グレア分類：V2<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ルーバ】アルミ（鏡面つや消し仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅡ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・昼白色<br/>Ra83<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX462FHN LE9","75000","","",
"天井埋込型　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42762J","81000","","1",
"天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：3.8 kg<br/>器具光束：4440 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.3 lm/W<br/>グレア分類：V1<br/>【本体】亜鉛鋼板<br/>【ルーバ】アルミ（鏡面仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅠ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・温白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）OAコンフォートCLASSⅠはCLASSⅡより輝度を抑制したOAルーバです。","XFX461FHV LA9","78000","","",
"天井埋込型　40形　一体型LEDベースライト　フリーコンフォート　Hf蛍光灯32形高出力型2灯器具相当　Hf32形高出力型2灯・6900 lm","LED（温白色）　<br/>色温度：3500 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：170 mm　<br/>長：1261 mm　<br/>埋込穴幅：150 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：111 mm<br/>質量：3.8 kg<br/>器具光束：4440 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：36.3 W　<br/>消費効率：122.3 lm/W<br/>グレア分類：V1<br/>【本体】亜鉛鋼板<br/>【ルーバ】アルミ（鏡面仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅠ・フリーコンフォートタイプ・省エネタイプ・6900 lmタイプ・温白色<br/>Ra83<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）調光はできません。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br/>注）OAコンフォートCLASSⅠはCLASSⅡより輝度を抑制したOAルーバです。","XFX461FHV LE9","75000","","",
"天井埋込型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　フリーコンフォート　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>質量：4.5 kg<br/>器具光束：2260 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：18.6 W　<br/>消費効率：121.5 lm/W<br/>グレア分類：V3<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ルーバ】アルミ（鏡面つや消し仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅢ・フリーコンフォートタイプ・省エネタイプ・3200 lmタイプ・昼白色<br/>Ra83<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX433EHN LA9","77700","","",
"天井埋込型　40形　一体型LEDベースライト　フリーコンフォート　Hf蛍光灯32形高出力型1灯器具相当　Hf32形高出力型・3200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>質量：4.5 kg<br/>器具光束：2260 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：18.6 W　<br/>消費効率：121.5 lm/W<br/>グレア分類：V3<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>【ルーバ】アルミ（鏡面つや消し仕上）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井埋込型、高効率OAコンフォート（アルミルーバ）CLASSⅢ・フリーコンフォートタイプ・省エネタイプ・3200 lmタイプ・昼白色<br/>Ra83<br/>遮光角：横方向30度／縦方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX433EHN LE9","74700","","",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","70400","","1",
"天井埋込型　40形　器具本体","<font color=""red"">ランプ別売</font><br/><br/>幅：238 mm　<br/>長：1261 mm　<br/>埋込穴幅：220 mm　<br/>埋込穴長：1235 mm　<br/>埋込高：119 mm<br/>【本体】亜鉛鋼板<br/>【反射板】鋼板（高反射白色粉体塗装）<br/>プラスユニット取付可能<br/>天井埋込型<br/>遮光角：横方向30度<br/>600ピッチ、800ピッチのボルトに対応します。<br/>●水平天井埋込専用<br/>単体連結の場合は、連結金具（NNFK91001）をご使用ください。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）WiLIA調光、PiPit調光、ウィズリモ、プルスイッチ付、ひとセンサ付（N/NT切替切替タイプ）、明るさセンサ付ライトバーとの組み合わせは不可です。<br/>注）10000 lmタイプ（LRの場合）・高演色タイプ・アレンジ調色タイプ・電磁波低減タイプのライトバーと組み合わせてお使いの場合、取付幅600ピッチはご使用になれません。800ピッチでお取付ください。<br/>注）アレンジ調色タイプライトバーと組み合わせてお使いの場合、中央電源穴はご使用になれません。","NNLK42764J","67400","","1",
